iter	Passed	Remaining
710	7509	5164
711	7519	5153
712	7530	5143
713	7539	5131
714	7549	5121
715	7560	5110
716	7570	5099
717	7580	5088
718	7590	5078
719	7601	5067
720	7611	5056
721	7621	5045
722	7631	5034
723	7641	5023
724	7651	5013
725	7661	5002
726	7671	4990
727	7681	4980
728	7691	4969
729	7700	4958
730	7711	4947
731	7721	4936
732	7731	4925
733	7742	4915
734	7752	4904
735	7762	4893
736	7772	4882
737	7782	4871
738	7794	4862
739	7803	4851
740	7813	4840
741	7823	4829
742	7833	4818
743	7844	4807
744	7854	4796
745	7864	4786
746	7873	4774
747	7883	4764
748	7894	4753
749	7904	4742
750	7914	4731
751	7924	4720
752	7933	4709
753	7943	4698
754	7954	4688
755	7963	4677
756	7974	4666
757	7984	4656
758	7994	4645
759	8005	4634
760	8015	4623
761	8025	4612
762	8035	4602
763	8045	4591
764	8055	4580
765	8065	4569
766	8076	4559
767	8087	4549
768	8097	4538
769	8108	4527
770	8118	4517
771	8128	4506
772	8138	4495
773	8149	4485
774	8159	4474
775	8169	4463
776	8179	4452
777	8190	4442
778	8201	4432
779	8212	4422
780	8222	4411
781	8233	4401
782	8244	4390
783	8254	4380
784	8265	4369
785	8275	4358
786	8286	4348
787	8296	4337
788	8308	4328
789	8319	4317
790	8329	4306
791	8339	4296
792	8351	4286
793	8362	4275
794	8372	4265
795	8382	4254
796	8392	4243
797	8402	4232
798	8413	4222
799	8422	4211
800	8432	4200
801	8444	4190
802	8453	4179
803	8464	4169
804	8474	4158
805	8488	4149
806	8501	4140
807	8514	4130
808	8526	4121
809	8537	4110
810	8551	4101
811	8563	4091
812	8573	4081
813	8584	4070
814	8596	4060
815	8607	4050
816	8619	4040
817	8632	4031
818	8644	4021
819	8656	4011
820	8666	4000
821	8678	3990
822	8689	3980
823	8700	3970
824	8713	3960
825	8724	3950
826	8734	3939
827	8745	3929
828	8757	3918
829	8766	3907
830	8777	3897
831	8787	3886
832	8798	3876
833	8809	3865
834	8819	3855
835	8829	3844
836	8841	3834
837	8851	3823
838	8860	3812
839	8870	3801
840	8880	3790
841	8890	3780
842	8900	3769
843	8910	3758
844	8920	3747
845	8931	3737
846	8942	3726
847	8953	3716
848	8964	3706
849	8975	3695
850	8987	3685
851	8999	3675
852	9010	3665
853	9022	3655
854	9037	3646
855	9051	3637
856	9062	3627
857	9073	3616
858	9084	3606
859	9094	3595
860	9107	3585
861	9117	3575
862	9128	3564
863	9140	3554
864	9151	3544
865	9161	3533
866	9172	3523
867	9183	3512
868	9195	3502
869	9222	3498
870	9233	3487
871	9242	3476
872	9252	3465
873	9261	3454
874	9271	3443
875	9281	3432
876	9291	3421
877	9302	3411
878	9313	3401
879	9322	3389
880	9332	3379
881	9342	3368
882	9353	3357
883	9363	3347
884	9372	3335
885	9383	3325
886	9396	3315
887	9407	3305
888	9417	3294
889	9428	3284
890	9438	3273
891	9450	3263
892	9461	3252
893	9471	3241
894	9482	3231
895	9492	3220
896	9501	3209
897	9512	3199
898	9522	3188
899	9533	3177
900	9544	3167
901	9554	3156
902	9564	3145
903	9575	3135
904	9585	3124
905	9595	3113
906	9605	3102
907	9615	3092
908	9626	3081
909	9635	3070
910	9646	3060
911	9656	3049
912	9665	3038
913	9676	3027
914	9686	3016
915	9695	3006
916	9705	2995
917	9714	2984
918	9725	2973
919	9734	2962
920	9745	2952
921	9755	2941
922	9765	2930
923	9774	2919
924	9784	2909
925	9794	2898
926	9804	2887
927	9814	2876
928	9824	2865
929	9833	2854
930	9843	2844
931	9854	2833
932	9864	2822
933	9875	2812
934	9886	2801
935	9895	2791
936	9906	2780
937	9916	2769
938	9926	2759
939	9936	2748
940	9945	2737
941	9956	2726
942	9966	2716
943	9976	2705
944	9986	2694
945	9994	2683
946	10004	2672
947	10014	2662
948	10024	2651
949	10035	2640
950	10044	2629
951	10053	2619
952	10063	2608
953	10073	2597
954	10083	2586
955	10092	2576
956	10103	2565
957	10114	2554
958	10123	2544
959	10134	2533
960	10143	2522
961	10152	2511
962	10162	2501
963	10172	2490
964	10182	2479
965	10191	2468
966	10202	2458
967	10212	2447
968	10221	2436
969	10231	2425
970	10240	2415
971	10251	2404
972	10261	2394
973	10274	2383
974	10287	2374
975	10299	2363
976	10311	2353
977	10321	2342
978	10332	2332
979	10340	2321
980	10350	2310
981	10360	2299
982	10369	2289
983	10380	2278
984	10400	2270
985	10411	2259
986	10422	2249
987	10437	2239
988	10450	2229
989	10461	2219
990	10471	2208
991	10483	2198
992	10494	2187
993	10504	2176
994	10514	2166
995	10524	2155
996	10534	2144
997	10546	2134
998	10557	2124
999	10567	2113
1000	10580	2103
1001	10591	2092
1002	10604	2082
1003	10616	2072
1004	10628	2062
1005	10641	2052
1006	10654	2042
1007	10666	2031
1008	10679	2021
1009	10690	2011
1010	10702	2000
1011	10714	1990
1012	10724	1979
1013	10734	1968
1014	10744	1958
1015	10755	1947
1016	10764	1937
1017	10776	1926
1018	10784	1915
1019	10796	1905
1020	10806	1894
1021	10815	1883
1022	10826	1873
1023	10836	1862
1024	10846	1851
1025	10856	1841
1026	10866	1830
1027	10876	1819
1028	10886	1809
1029	10896	1798
1030	10907	1787
1031	10917	1777
1032	10926	1766
1033	10936	1755
1034	10945	1744
1035	10956	1734
1036	10965	1723
1037	10974	1712
1038	10984	1702
1039	10994	1691
1040	11003	1680
1041	11013	1670
1042	11024	1659
1043	11048	1650
1044	11059	1640
1045	11071	1629
1046	11080	1619
1047	11092	1608
1048	11108	1598
1049	11121	1588
1050	11132	1578
1051	11142	1567
1052	11154	1557
1053	11163	1546
1054	11174	1535
1055	11185	1525
1056	11200	1515
1057	11225	1506
1058	11239	1496
1059	11249	1485
1060	11260	1475
1061	11271	1464
1062	11282	1454
1063	11291	1443
1064	11302	1432
1065	11312	1421
1066	11322	1411
1067	11332	1400
1068	11342	1389
1069	11352	1379
1070	11362	1368
1071	11371	1357
1072	11381	1347
1073	11391	1336
1074	11401	1325
1075	11410	1315
1076	11421	1304
1077	11430	1293
1078	11440	1282
1079	11465	1273
1080	11475	1263
1081	11484	1252
1082	11495	1241
1083	11505	1231
1084	11516	1220
1085	11527	1210
1086	11538	1199
1087	11550	1189
1088	11561	1178
1089	11570	1167
1090	11581	1157
1091	11591	1146
1092	11600	1135
1093	11610	1124
1094	11620	1114
1095	11629	1103
1096	11639	1092
1097	11649	1082
1098	11659	1071
1099	11669	1060
1100	11678	1050
1101	11689	1039
1102	11702	1029
1103	11712	1018
1104	11722	1007
1105	11732	997
1106	11743	986
1107	11752	975
1108	11762	965
1109	11772	954
1110	11782	943
1111	11791	933
1112	11801	922
1113	11810	911
1114	11820	901
1115	11830	890
1116	11840	879
1117	11850	869
1118	11860	858
1119	11871	847
1120	11882	837
1121	11893	826
1122	11905	816
1123	11914	805
1124	11927	795
1125	11939	784
1126	11949	773
1127	11958	763
1128	11968	752
1129	11977	741
1130	11988	731
1131	11997	720
1132	12008	710
1133	12017	699
1134	12028	688
1135	12039	678
1136	12050	667
1137	12059	657
1138	12069	646
1139	12079	635
1140	12089	625
1141	12099	614
1142	12110	603
1143	12120	593
1144	12129	582
1145	12140	572
1146	12151	561
1147	12160	550
1148	12169	540
1149	12178	529
1150	12189	518
1151	12199	508
1152	12208	497
1153	12219	487
1154	12228	476
1155	12239	465
1156	12249	455
1157	12258	444
1158	12282	434
1159	12292	423
1160	12302	413
1161	12311	402
1162	12321	391
1163	12332	381
1164	12343	370
1165	12355	360
1166	12367	349
1167	12377	339
1168	12387	328
1169	12398	317
1170	12407	307
1171	12416	296
1172	12426	286
1173	12436	275
1174	12447	264
1175	12458	254
1176	12469	243
1177	12479	233
1178	12489	222
1179	12499	211
1180	12510	201
1181	12520	190
1182	12530	180
1183	12541	169
1184	12552	158
1185	12562	148
1186	12573	137
1187	12584	127
1188	12595	116
1189	12604	105
1190	12614	95
1191	12625	84
1192	12635	74
1193	12645	63
1194	12657	52
1195	12668	42
1196	12678	31
1197	12688	21
1198	12698	10
1199	12708	0
